source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005856,cytoskeleton,7.78563280397225e-89,True,"""A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."" [GOC:mah, PMID:16959967, PMID:27419875]",2440,208,146,22115,0.7019230769230769,0.05983606557377049,query_1,['GO:0043232']
GO:CC,GO:0015630,microtubule cytoskeleton,1.3551329227390998e-66,True,"""The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins."" [GOC:jl, ISBN:0395825172]",1414,208,105,22115,0.5048076923076923,0.07425742574257425,query_1,['GO:0005856']
GO:CC,GO:0099513,polymeric cytoskeletal fiber,1.9751650261541827e-60,True,"""A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits."" [GOC:dos]",806,208,82,22115,0.3942307692307692,0.10173697270471464,query_1,"['GO:0005856', 'GO:0099512']"
GO:CC,GO:0005874,microtubule,2.4787214276087587e-60,True,"""Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle."" [ISBN:0879693568]",477,208,69,22115,0.3317307692307692,0.14465408805031446,query_1,"['GO:0015630', 'GO:0099513']"
GO:CC,GO:0099512,supramolecular fiber,2.3365757168479674e-59,True,"""A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:dos]",1053,208,89,22115,0.42788461538461536,0.08452041785375118,query_1,['GO:0099081']
GO:CC,GO:0099081,supramolecular polymer,4.514214834489733e-59,True,"""A polymeric supramolecular structure."" [GOC:dos]",1061,208,89,22115,0.42788461538461536,0.08388312912346843,query_1,['GO:0099080']
GO:CC,GO:0099080,supramolecular complex,1.5779611893062075e-53,True,"""A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."" [GOC:dos]",1426,208,94,22115,0.4519230769230769,0.06591865357643759,query_1,['GO:0110165']
GO:CC,GO:0043232,intracellular membraneless organelle,4.7056805832563376e-46,True,"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]",6606,208,164,22115,0.7884615384615384,0.02482591583409022,query_1,"['GO:0043228', 'GO:0043229']"
GO:CC,GO:0043228,membraneless organelle,4.81189992489316e-46,True,"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]",6607,208,164,22115,0.7884615384615384,0.02482215831693658,query_1,['GO:0043226']
GO:CC,GO:0005737,cytoplasm,9.581115015398023e-38,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",12394,208,200,22115,0.9615384615384616,0.016136840406648378,query_1,"['GO:0005622', 'GO:0110165']"
